nom_commune,conso_totale_mwh,conso_moy_site_mwh,conso_moy_commune_mwh,nb_logements,classe_conso
ALBIGNY-SUR-SAONE,818.4979999999999,2.9491111111111112,4.704,319,faible
ALBIGNY-SUR-SAÔNE,5611.488,2.6964264705882353,4.539970588235294,2422,faible
AMPLEPUIS,2674.603,1.8311600000000001,4.13563,1494,très faible
AMPUIS,1397.587,2.9781724137931036,6.102448275862069,445,moyenne
ANSE,10806.682999999999,2.6807100840336133,5.110584033613446,4240,faible
ARBRESLE,2971.734,3.4780392156862745,4.916,885,faible
ARNAS,4765.961,2.392609090909091,5.459199999999999,2419,faible
BEAUJEU,533.423,3.571307692307692,4.84,146,faible
BEAUVALLON,837.221,3.4849130434782607,7.2206086956521744,250,très élevée
BELLEVILLE,3408.553,2.9057215189873418,4.182,1211,très faible
BELLEVILLE-EN-BEAUJOLAIS,29093.472999999998,2.8252910714285715,4.480221428571428,10116,faible
BELMONT-D'AZERGUES,228.139,3.6304000000000003,7.1930000000000005,62,très élevée
BESSENAY,93.137,1.1995,6.111666666666667,76,moyenne
BLACE,28.054,2.004,7.293,14,très élevée
BLACÉ,323.674,1.7393999999999998,7.1318,189,très élevée
BRIGNAIS,34917.807,2.399079064587973,4.678834075723831,15100,faible
BRINDAS,15443.232,5.0223378378378385,7.205103603603604,3218,très élevée
BRON,197559.917,2.338587477909619,2.8725296642262057,87398,très faible
BRUSSIEU,1137.7939999999999,4.724318181818182,6.627409090909091,238,élevée
BULLY,849.982,4.685866666666667,7.108333333333333,185,élevée
CAILLOUX-SUR-FONTAINES,7180.169,6.359904109589041,7.491068493150684,1207,très élevée
CALUIRE-ET-CUIRE,276572.585,2.6767497733454215,3.3001523118766998,104532,très faible
CERCIÉ,85.554,3.291,7.162,26,très élevée
CHABANIERE,82.888,3.044,6.746,28,élevée
CHABANIÈRE,1337.6299999999999,2.459827586206896,6.1737586206896555,586,moyenne
CHAMPAGNE-AU-MONT-D'OR,28975.503,2.931497907949791,4.109899581589958,10749,très faible
CHAPONNAY,3515.835,3.2435662650602413,7.728987951807229,1082,très élevée
CHAPONOST,14587.033,2.8601148036253776,6.005114803625378,5552,moyenne
CHARBONNIERES-LES-BAINS,2823.823,3.8529999999999998,7.02,807,élevée
CHARBONNIÈRES-LES-BAINS,19014.712,3.7604787644787643,6.564783783783784,5826,moyenne
CHARENTAY,39.407,3.284,6.758,12,élevée
CHARLY,6293.933,4.170944444444444,7.445388888888889,1548,très élevée
CHASSELAY,1519.377,1.821808510638298,6.397659574468085,842,moyenne
CHASSIEU,25133.693,3.468940594059406,5.9906509900990095,8527,moyenne
CHATILLON,19.386,1.939,6.904,10,élevée
CHAZAY-D'AZERGUES,3919.323,3.6831184210526313,6.865328947368421,1162,élevée
CHERES,343.74300000000005,4.924250000000001,7.216,70,très élevée
CHESSY,510.015,5.604285714285715,6.194857142857143,91,moyenne
